Name,Rank,Location,Points
carp2,1001.0,"Houston, Texas",6012375
humphryd,1002.0,"Calgary, Alberta",6011220
AlanD,1003.0,"Chicago, Illinois",6010075
krell58,1004.0,Missouri,6009170
lou17,1005.0,"Rochester, New York",6008860
muggs16,1006.0,"Toronto, Ontario",6007900
GrandBlanc,1007.0,Michigan,6007710
FranklinGasGuy,1008.0,"Nashville, Tennessee",6006640
mike52,1009.0,Wisconsin,6006200
mk0532,1010.0,Kansas,6005540
pzini,1011.0,New Jersey,6004940
sit,1012.0,"Cleveland, Ohio",6004935
Teddy95,1013.0,"Dayton, Ohio",6003800
JWTH531,1014.0,Connecticut,6001570
Rigme,1015.0,Saskatchewan,6000685
alp,1016.0,"Portland, Oregon",6000525
UncleBill,1017.0,"Winnipeg, Manitoba",6000015
FlyNFool,1018.0,South Carolina,5997295
bruce725,1019.0,Florida,5996815
kool_rider,1020.0,"Calgary, Alberta",5996705
dragon65,1021.0,"Chicago, Illinois",5995610
aka,1022.0,Arizona,5994270
dupont941,1023.0,Florida,5993390
Garryhead,1024.0,"Nashville, Tennessee",5993295
Ferrari_1,1025.0,"London, Ontario",5993060
TOPitOFF,1026.0,New Hampshire,5992945
Gas Slave,1027.0,"Cincinnati, Ohio",5990305
Wizrd03,1028.0,Illinois,5989685
ItsMorph,1029.0,"Grand Rapids, Michigan",5988500
jb47,1030.0,"Shreveport, Louisiana",5987035
lion54,1031.0,South Carolina,5986570
MeterShock,1032.0,"London, Ontario",5986280
Nflooring17,1033.0,"Charlotte, North Carolina",5986250
Jarol,1034.0,Iowa,5985490
PhilMay,1035.0,"Detroit, Michigan",5979575
LexusLS400,1036.0,"Orange County, California",5978915
perspicacity,1037.0,"Oklahoma City, Oklahoma",5977015
outridin,1038.0,Illinois,5976710
DrNot,1039.0,Mississippi,5974185
Biogen,1040.0,"Ventura, California",5972945
Thor51,1041.0,"London, Ontario",5971765
nurdco,1042.0,"Colorado Springs, Colorado",5971570
heocon,1043.0,Hawaii,5971100
larrypm,1044.0,Newfoundland,5970955
bayamon,1045.0,"Orlando, Florida",5970115
MarMacMal,1046.0,"St. Louis, Missouri",5969575
my2002m,1047.0,"Tulsa, Oklahoma",5969465
papou,1048.0,"Tampa, Florida",5968830
gmcgas,1049.0,"Atlanta, Georgia",5968225
vikens,1050.0,"Twin Cities, Minnesota",5967950
soesbandit,1051.0,"Orlando, Florida",5967200
TakeItEasy,1052.0,"San Jose, California",5966950
ink62,1053.0,"Chicago, Illinois",5966195
Nuthouse,1054.0,Illinois,5965645
gasaddik,1055.0,"Wichita, Kansas",5964280
GAS1251,1056.0,Texas,5957880
montana920,1057.0,"Chicago, Illinois",5957515
Gas Cat,1058.0,"Tampa, Florida",5957295
Solly93,1059.0,"Raleigh, North Carolina",5954620
NASH,1060.0,"Edmonton, Alberta",5952510
jimnkelli,1061.0,"St. Louis, Missouri",5951085
bearone2,1062.0,"Phoenix, Arizona",5949545
Dennisjk,1063.0,"Detroit, Michigan",5948415
trevv,1064.0,"Evansville, Indiana",5948350
H82Bgouged,1065.0,Indiana,5946815
honda0105,1066.0,"Tallahassee, Florida",5946215
a351c,1067.0,Mississippi,5946160
OPTIMZD,1068.0,"San Diego, California",5946005
allanm,1069.0,"Virginia Beach, Virginia",5943095
radcaz,1070.0,"Houston, Texas",5941965
shoozoo,1071.0,"Orange County, California",5941155
380SE,1072.0,"Fort Worth, Texas",5939235
OHMS,1073.0,"Orange County, California",5938520
SilverFoxHMT,1074.0,"San Diego, California",5938400
WVUtailgater,1075.0,"Cleveland, Ohio",5937895
30mpg80,1076.0,"Lexington, Kentucky",5936795
Sub98,1077.0,"Toledo, Ohio",5935940
Martin62,1078.0,"Calgary, Alberta",5935855
jayrad1957,1079.0,"Los Angeles, California",5931690
kraby1,1080.0,"New Haven, Connecticut",5931165
MACEPAK,1081.0,"Omaha, Nebraska",5930075
ronnie13,1082.0,"Kansas City, Missouri",5928940
smol01,1083.0,"Columbus, Ohio",5928205
dnelson989,1084.0,Washington,5927075
PurpleRiver,1085.0,"Denver, Colorado",5925990
gixxerman35,1086.0,"Las Vegas, Nevada",5922935
madison8359,1087.0,"Cleveland, Ohio",5922930
therder,1088.0,"Lexington, Kentucky",5922670
cjs,1089.0,"Oklahoma City, Oklahoma",5921290
BSpeedIII,1090.0,"Tulsa, Oklahoma",5919095
Xpoint,1091.0,Idaho,5916925
tramguy,1092.0,"Toronto, Ontario",5916845
Raudy,1093.0,"Riverside, California",5910975
Geo4564,1094.0,Nevada,5910120
1smudge,1095.0,"Columbus, Ohio",5909970
ww2gas,1096.0,Virginia,5909560
KaliforniaKid,1097.0,California,5909200
OldMalibu,1098.0,Utah,5907760
badguzzler,1099.0,Virginia,5907610
planeplane,1100.0,Tennessee,5906375
jason54915,1101.0,"Appleton, Wisconsin",5905120
gerreg,1102.0,Nebraska,5902120
rspiano,1103.0,"Tucson, Arizona",5899580
OldMan322,1104.0,Illinois,5898920
LoonAToon,1105.0,New Hampshire,5898765
eggcircuit,1106.0,"New York City, New York",5896365
JPEight,1107.0,"Nashville, Tennessee",5896165
kimo31,1108.0,"Orange County, California",5895750
Wiggly,1109.0,Tennessee,5895655
TH34,1110.0,"Baltimore, Maryland",5895300
bad_sailor,1111.0,"London, Ontario",5894445
fortysixdays,1112.0,"Houston, Texas",5891750
rb1313,1113.0,"Knoxville, Tennessee",5889250
ClwFL,1114.0,"Tampa, Florida",5888160
MauiTX,1115.0,"Fort Worth, Texas",5887500
Hawg47,1116.0,Arkansas,5886830
Mightworkforgas,1117.0,"Milwaukee, Wisconsin",5885980
Dale Jr.,1118.0,Illinois,5885500
AJKPA,1119.0,Pennsylvania,5884580
rebelrocker,1120.0,"Milwaukee, Wisconsin",5883615
BluebirdCA,1121.0,California,5882450
soca,1122.0,"Toronto, Ontario",5879885
claylemon,1123.0,Arkansas,5879285
FedUpCA,1124.0,"Ventura, California",5878885
alphascan,1125.0,Minnesota,5878200
jberg29,1126.0,"Twin Cities, Minnesota",5876920
HEBster,1127.0,Kentucky,5876465
QuickPicker,1128.0,"Philadelphia, Pennsylvania",5875535
Grizzly1505,1129.0,North Carolina,5873695
Loree71,1130.0,"San Bernardino, California",5873010
gabbygusIN,1131.0,Indiana,5872650
spyder3m,1132.0,Florida,5870740
Metro50,1133.0,"Grand Rapids, Michigan",5869260
Pi314CA,1134.0,"San Jose, California",5868500
Civic90,1135.0,"Vancouver, British Columbia",5866055
GC4444,1136.0,West Virginia,5864645
Mobiusag,1137.0,British Columbia,5864635
Ramaniac,1138.0,"St. Louis, Missouri",5864040
AmarilloAlan,1139.0,"Amarillo, Texas",5862920
ozarkpapa,1140.0,"Pensacola, Florida",5862505
joskenn,1141.0,"Albuquerque, New Mexico",5860475
spike1zz,1142.0,Indiana,5860320
TxGasRat,1143.0,"Houston, Texas",5860220
BigdaddyWI,1144.0,"Milwaukee, Wisconsin",5860120
KingBiscuit,1145.0,"Raleigh, North Carolina",5858205
HarrisonL,1146.0,"Charleston, West Virginia",5855380
hittner,1147.0,"Allentown, Pennsylvania",5854675
erod13,1148.0,"Tallahassee, Florida",5853185
doncNJ,1149.0,New Jersey,5851320
billbearAL,1150.0,"Montgomery, Alabama",5849255
bigmacatac,1151.0,"St. Louis, Missouri",5849140
airchair,1152.0,"Portland, Oregon",5848945
dirt girl,1153.0,"Twin Cities, Minnesota",5848200
hvgasboy,1154.0,New York,5847010
Rhiannon,1155.0,"Milwaukee, Wisconsin",5845810
Lorimar,1156.0,Iowa,5842945
Jocko,1157.0,"Spokane, Washington",5842820
TheSicilian,1158.0,"Jacksonville, Florida",5842370
LexieKY,1159.0,"Lexington, Kentucky",5842330
Sasquatch2005,1160.0,British Columbia,5841550
HankJ,1161.0,"Montgomery, Alabama",5840580
ag9495,1162.0,"Houston, Texas",5840475
Goaljudge,1163.0,Kentucky,5840090
Local39701,1164.0,Mississippi,5838155
DrDX,1165.0,Connecticut,5837600
fill-her-up,1166.0,Ontario,5836565
fatboy97,1167.0,"Twin Cities, Minnesota",5834575
mh44s,1168.0,"Madison, Wisconsin",5833140
Jbws68,1169.0,Illinois,5832270
mrjames1818,1170.0,New Jersey,5829395
retailman,1171.0,"Long Island, New York",5829340
scshute,1172.0,"Kansas City, Missouri",5827425
AKmailman,1173.0,Alaska,5825770
Surveyguy,1174.0,Texas,5824900
tbucks,1175.0,"Springfield, Massachusetts",5824300
Hugo40,1176.0,Kentucky,5824060
rschmetzer,1177.0,"Tallahassee, Florida",5823435
trapper9,1178.0,Georgia,5823000
JRF,1179.0,"Columbus, Ohio",5820395
thirstyauto,1180.0,"Milwaukee, Wisconsin",5818670
Skipper52,1181.0,Massachusetts,5817900
SUVFan,1182.0,"Columbus, Ohio",5817705
fightbigoil71,1183.0,"Milwaukee, Wisconsin",5816525
tmstowe,1184.0,Utah,5814395
carnutt,1185.0,"Phoenix, Arizona",5813330
crocstoy,1186.0,Ontario,5810525
Disnydad,1187.0,"Albany, New York",5810385
spy54904,1188.0,Wisconsin,5809665
sjlevine,1189.0,"Oklahoma City, Oklahoma",5809430
Steady325,1190.0,"Orange County, California",5804564
SubaRick,1191.0,"Austin, Texas",5804250
resintech,1192.0,Iowa,5803990
biza4u,1193.0,"New Haven, Connecticut",5803665
ncc4950,1194.0,"Greensboro, North Carolina",5803645
BLKSILVER,1195.0,"Indianapolis, Indiana",5803000
TLyleJeep,1196.0,Wyoming,5802600
camel1,1197.0,Minnesota,5802590
Fish167,1198.0,North Carolina,5802415
MDTDriver,1199.0,California,5802140
b899,1200.0,Connecticut,5802015
SCB1970,1201.0,"Salt Lake City, Utah",5801950
Bud122CA,1202.0,California,5801420
Bigboy1942,1203.0,"Louisville, Kentucky",5801245
Davescold,1204.0,"Dallas, Texas",5800055
Hitnmiss,1205.0,Iowa,5800025
SulleysPhone,1206.0,"Fort Worth, Texas",5798475
attitash,1207.0,Ontario,5796185
Gassed-up,1208.0,"Toronto, Ontario",5796065
runinoutagas,1209.0,"San Bernardino, California",5794850
wishywashy,1210.0,"Omaha, Nebraska",5793920
Rouxd,1211.0,"Little Rock, Arkansas",5792640
Benzilla,1212.0,"Tampa, Florida",5791965
boanerges,1213.0,"Los Angeles, California",5791355
nima,1214.0,Virginia,5791040
RUNNLATE,1215.0,Hawaii,5790310
fratt,1216.0,"Grand Rapids, Michigan",5788135
muduck,1217.0,"San Diego, California",5787940
goober1,1218.0,"Atlanta, Georgia",5786650
linament,1219.0,"Ventura, California",5785740
Bright_Scouter,1220.0,"Grand Rapids, Michigan",5785450
firepower,1221.0,"Tucson, Arizona",5780780
MARIOWERX,1222.0,"Vancouver, British Columbia",5780365
thejackbox,1223.0,"Phoenix, Arizona",5780225
C4U,1224.0,"Salt Lake City, Utah",5780085
pstrom,1225.0,"Dallas, Texas",5779890
Handiman,1226.0,Saskatchewan,5779725
CRAZY DUDE,1227.0,"Winnipeg, Manitoba",5779575
DLu3,1228.0,"Philadelphia, Pennsylvania",5779350
Martinman,1229.0,Mississippi,5778090
RadarRunner,1230.0,Oklahoma,5777425
Scubamal,1231.0,"Riverside, California",5777240
twinbuick,1232.0,"Fort Worth, Texas",5776590
Einstein47,1233.0,Utah,5775013
serrog,1234.0,Nova Scotia,5773815
RayJayT,1235.0,Mississippi,5769505
hwmillerster,1236.0,Missouri,5769270
eaglesw1ngs,1237.0,"Cincinnati, Ohio",5769165
skybiker,1238.0,South Carolina,5767370
Uconn,1239.0,Connecticut,5766825
Bubba14,1240.0,"Charleston, West Virginia",5764845
JohnLev,1241.0,"Orange County, California",5764140
rippinusoff,1242.0,"Lexington, Kentucky",5764130
gobucks113,1243.0,"Columbus, Ohio",5763755
blake2,1244.0,"Hamilton, Ontario",5762090
XSKYCOP,1245.0,"Indianapolis, Indiana",5761510
cigarman409,1246.0,Massachusetts,5761365
F16220,1247.0,Florida,5760860
voyager41,1248.0,"Las Vegas, Nevada",5759935
pyndasky,1249.0,Maryland,5759855
BGJam,1250.0,"Twin Cities, Minnesota",5759360
PelicansFan,1251.0,"Pensacola, Florida",5756905
mrkel,1252.0,"Cincinnati, Ohio",5755415
WonderfulMI,1253.0,Michigan,5752350
daken,1254.0,"Harrisburg, Pennsylvania",5749052
Tegger,1255.0,Ontario,5748390
vic004,1256.0,"Worcester, Massachusetts",5747135
GryphonJax,1257.0,"Jacksonville, Florida",5745372
55Russ,1258.0,"Cleveland, Ohio",5745105
GasMiserAZ,1259.0,"Phoenix, Arizona",5744285
DADDYDOG,1260.0,"Indianapolis, Indiana",5742500
rheckber,1261.0,Massachusetts,5741120
NightMagic,1262.0,"Cincinnati, Ohio",5740260
clement007,1263.0,"Cleveland, Ohio",5738570
sydb7,1264.0,"Atlanta, Georgia",5738115
DaveFic,1265.0,"Phoenix, Arizona",5737160
FocusGuy,1266.0,"Seattle, Washington",5736120
gas_too_high,1267.0,"Columbus, Ohio",5735365
malal,1268.0,Pennsylvania,5735135
MichaelValorie,1269.0,"Oklahoma City, Oklahoma",5733555
nb52,1270.0,"Grand Rapids, Michigan",5732490
Car_Lover,1271.0,"Lancaster, Pennsylvania",5732030
Cheney,1272.0,"Toronto, Ontario",5731615
Silverdog1,1273.0,British Columbia,5731020
AnObserver,1274.0,New Jersey,5730290
GoBuckeyes,1275.0,"San Bernardino, California",5729660
WFPacker,1276.0,North Dakota,5729125
SJS,1277.0,"Los Angeles, California",5727555
johnmori,1278.0,Alabama,5727495
firedudette,1279.0,"St. Louis, Missouri",5725175
Bubba52,1280.0,"Quad Cities, Iowa",5724870
Old_Trekee,1281.0,Ohio,5724565
scrounger,1282.0,"Vancouver, British Columbia",5724145
69mustang,1283.0,Minnesota,5722085
rrbruinfan,1284.0,"Austin, Texas",5721625
sophiedog,1285.0,"Ventura, California",5720485
ERROLTY,1286.0,"Austin, Texas",5720370
RogerB,1287.0,"Indianapolis, Indiana",5719450
wsherwood,1288.0,"Miami, Florida",5719090
ebaugh,1289.0,"Atlanta, Georgia",5717295
zaq001,1290.0,"Atlanta, Georgia",5716985
SusieQGA,1291.0,Georgia,5713585
scdriven,1292.0,"Columbia, South Carolina",5712945
Oredigger94,1293.0,"Dayton, Ohio",5712515
X Wolf,1294.0,Ontario,5712155
Montie,1295.0,"Charleston, West Virginia",5711900
webwzrd,1296.0,"Cleveland, Ohio",5711505
Geo1002,1297.0,"Twin Cities, Minnesota",5711365
VREP,1298.0,Vermont,5711310
01876,1299.0,"Boston, Massachusetts",5711135
WillCody,1300.0,"Austin, Texas",5708275
lambs100,1301.0,"Toronto, Ontario",5707210
CDUBYA,1302.0,Ohio,5705265
LanguageMan1,1303.0,"Tampa, Florida",5703840
Joisygal,1304.0,New Jersey,5703770
TinyTownAB,1305.0,Alberta,5703615
bevner,1306.0,"St. Louis, Missouri",5702725
PetrolMizer04,1307.0,"Toronto, Ontario",5701040
Zonk,1308.0,Michigan,5699150
Asbury09,1309.0,Iowa,5695805
njerald,1310.0,"Seattle, Washington",5695675
Goody15,1311.0,"Cleveland, Ohio",5694585
mrpc90,1312.0,Illinois,5694360
travelless,1313.0,South Carolina,5692500
DarTil,1314.0,"Little Rock, Arkansas",5691650
mongocat,1315.0,"Rochester, New York",5687305
ByGuy,1316.0,"Dallas, Texas",5687260
gassyjack,1317.0,"Twin Cities, Minnesota",5686660
abuck,1318.0,"Pittsburgh, Pennsylvania",5685535
Gumbie,1319.0,"Gary, Indiana",5685005
investmentdr,1320.0,"Cleveland, Ohio",5684650
FastAndy,1321.0,"Indianapolis, Indiana",5683630
BuildersService,1322.0,"Oakland, California",5682735
clipperskipper,1323.0,Florida,5682540
dirvesalot,1324.0,"Oklahoma City, Oklahoma",5681100
Bellegueule,1325.0,"Montreal, Quebec",5679390
craigsf38,1326.0,"Rochester, New York",5676780
twomikea,1327.0,"Fort Worth, Texas",5676745
Blubberpuppy,1328.0,"Baltimore, Maryland",5676480
Oregonio,1329.0,Oregon,5676400
yankeeboy7,1330.0,Louisiana,5675750
FuelPump,1331.0,"Los Angeles, California",5675550
chaohwa,1332.0,"Miami, Florida",5673025
Harleythenut,1333.0,"Calgary, Alberta",5670785
JeeperTX,1334.0,"Dallas, Texas",5669605
iceman666,1335.0,"Atlanta, Georgia",5668560
hvn4me,1336.0,"Virginia Beach, Virginia",5668130
RENEGADEGAS,1337.0,Missouri,5667935
MajorSteve,1338.0,"Oklahoma City, Oklahoma",5665070
coachjc,1339.0,"Cincinnati, Ohio",5663725
andyboy2,1340.0,New Jersey,5660670
WIPACKERFAN,1341.0,"Chicago, Illinois",5660630
firstdownguy,1342.0,South Dakota,5660050
LeftLane1,1343.0,Georgia,5655765
I5Don,1344.0,California,5655740
xiii,1345.0,"Chicago, Illinois",5649980
walleyeking,1346.0,Michigan,5647905
daequitz,1347.0,New Jersey,5647425
StArrow68,1348.0,"Oakland, California",5646450
bronco691,1349.0,Ohio,5642980
jmdeng,1350.0,"San Jose, California",5641135
PA_VDub_Nut,1351.0,"Reading, Pennsylvania",5641110
Buick86,1352.0,Virginia,5636785
NavyStore,1353.0,"Seattle, Washington",5636670
asa52,1354.0,"Seattle, Washington",5635950
LoneStarFX,1355.0,"Austin, Texas",5635150
TINYe,1356.0,"Oklahoma City, Oklahoma",5634575
Heltonw,1357.0,Montana,5634555
OrangeCratePA,1358.0,"Myrtle Beach, South Carolina",5633090
dakirw,1359.0,"San Jose, California",5632015
lcs1,1360.0,New Jersey,5627805
Roysilver,1361.0,"Orange County, California",5625095
highdesertman,1362.0,"Albuquerque, New Mexico",5624460
Dweebs,1363.0,Ontario,5623425
CrackedLCD,1364.0,Alabama,5621105
91Acclaim,1365.0,Maryland,5619595
mtglass,1366.0,"Albany, New York",5618915
afghaned,1367.0,"Ottawa, Ontario",5618910
RWPTraveller,1368.0,Virginia,5617960
mudflap1,1369.0,"Virginia Beach, Virginia",5617645
wbacon,1370.0,"Philadelphia, Pennsylvania",5616955
jerryb77,1371.0,Tennessee,5616875
zeeba41,1372.0,"Chicago, Illinois",5616320
egleye,1373.0,New Hampshire,5615765
Amtrgas,1374.0,"Oakland, California",5615675
TheMOX,1375.0,"Indianapolis, Indiana",5615575
Pingputter,1376.0,"Louisville, Kentucky",5614185
scuffy,1377.0,Florida,5613035
Sneakers55,1378.0,"Houston, Texas",5612240
xCop,1379.0,"Dayton, Ohio",5606920
Fuel_Angel,1380.0,Ontario,5605710
mdotson,1381.0,"Grand Rapids, Michigan",5603075
Zepo,1382.0,"Columbus, Ohio",5601935
Jcisco,1383.0,"Fort Worth, Texas",5600875
lgwhitlock,1384.0,"Chico, California",5599225
crgator,1385.0,Florida,5598550
windowdude49301,1386.0,"Grand Rapids, Michigan",5597952
medic297,1387.0,Oregon,5597485
sjambok,1388.0,"Nashville, Tennessee",5597085
RWK777,1389.0,"Kitchener-Waterloo, Ontario",5595310
WantLowLowLow,1390.0,"Dallas, Texas",5593970
BigDogOH,1391.0,"Cincinnati, Ohio",5590410
PontiacLover,1392.0,"Victoria, British Columbia",5585990
bikechuck,1393.0,"Indianapolis, Indiana",5585825
comprof,1394.0,"Houston, Texas",5584165
Moosie,1395.0,New Hampshire,5582785
Instructor,1396.0,"Toronto, Ontario",5582075
CYSWXMAN,1397.0,Wyoming,5581830
Nicoalbum,1398.0,"Ottawa, Ontario",5580974
Peeka,1399.0,"El Paso, Texas",5580660
BAAAA,1400.0,"St. Louis, Missouri",5578850
MJH1164,1401.0,"Albany, New York",5575895
CFD29,1402.0,Arkansas,5575635
liao,1403.0,"Montreal, Quebec",5575585
Nittfo,1404.0,Massachusetts,5575215
svcmaster,1405.0,Virginia,5573900
933mustang,1406.0,Florida,5573835
HRRUS,1407.0,"Phoenix, Arizona",5573290
cloud23465,1408.0,"Virginia Beach, Virginia",5566780
gymyster,1409.0,Michigan,5564980
Miles A Day,1410.0,"Greenville, South Carolina",5563200
anacondass,1411.0,"New Orleans, Louisiana",5562380
arinkrat17,1412.0,"Twin Cities, Minnesota",5561580
cdnt48,1413.0,Minnesota,5561265
AH112,1414.0,Ohio,5560430
remecuda,1415.0,Alberta,5559020
Gpa09,1416.0,Indiana,5557710
sadeline,1417.0,"Durham, North Carolina",5555905
JoeDriver,1418.0,Colorado,5555830
henryjunk,1419.0,Washington,5554120
YUMSBPA,1420.0,Arizona,5553575
DeHavilland,1421.0,"Toronto, Ontario",5548620
Qwik442,1422.0,"San Antonio, Texas",5548360
Dorkchop,1423.0,Maryland,5546690
Nozzel,1424.0,Ontario,5544250
TC2007,1425.0,"Miami, Florida",5543710
save$$$,1426.0,Colorado,5543215
wazoo,1427.0,"Twin Cities, Minnesota",5542945
wing-nut,1428.0,Oregon,5542270
PirateFan,1429.0,Virginia,5539855
tomfromnm,1430.0,New Mexico,5536410
DealHunter,1431.0,"Los Angeles, California",5535620
wrp41,1432.0,"Chicago, Illinois",5535145
Phynque,1433.0,Wisconsin,5534310
t-w,1434.0,"Denver, Colorado",5534245
HeavyDuty_cache,1435.0,"Omaha, Nebraska",5534165
gesgto,1436.0,"Milwaukee, Wisconsin",5533300
XpertDrvr,1437.0,New Hampshire,5530135
Blubird,1438.0,"Tampa, Florida",5529715
grantel3707,1439.0,"Allentown, Pennsylvania",5528375
SHEP20715,1440.0,Maryland,5527215
John25,1441.0,Washington DC,5526335
KMAL,1442.0,Missouri,5525965
acrider54,1443.0,British Columbia,5525010
redjeep06,1444.0,"Raleigh, North Carolina",5524665
daw49,1445.0,"Chicago, Illinois",5523865
Saturn1,1446.0,"Akron, Ohio",5523765
baitmn,1447.0,"New Orleans, Louisiana",5522050
YodaON,1448.0,"Ottawa, Ontario",5521295
grandma5,1449.0,Illinois,5520970
ZZZoop,1450.0,Virginia,5520835
BigKidCar,1451.0,"Oakland, California",5519425
CAroadrunner101,1452.0,California,5517125
regasaz,1453.0,"Phoenix, Arizona",5515664
nimpy,1454.0,"Indianapolis, Indiana",5515375
EC73,1455.0,"Worcester, Massachusetts",5515275
cbramsey5318,1456.0,"Spartanburg, South Carolina",5514930
kathybye,1457.0,"Phoenix, Arizona",5513130
UncleChuckles,1458.0,"Milwaukee, Wisconsin",5512750
Gasfighter08,1459.0,"Lincoln, Nebraska",5512635
kingdick,1460.0,Minnesota,5512615
tax-pro,1461.0,"Twin Cities, Minnesota",5512335
Rednix,1462.0,"Miami, Florida",5511660
jcrawford,1463.0,"Columbus, Ohio",5511490
dwp49423,1464.0,Michigan,5511065
yclookout,1465.0,"Sacramento, California",5507978
papajohn597,1466.0,"Dallas, Texas",5506955
Quick68,1467.0,"Columbus, Ohio",5505725
DTrainCanada,1468.0,"Saskatoon, Saskatchewan",5505600
Sarb,1469.0,"Calgary, Alberta",5504545
Signfool,1470.0,"Omaha, Nebraska",5504530
litv101,1471.0,"Houston, Texas",5504295
poppopmam,1472.0,Maine,5502115
AlpineDude,1473.0,"San Diego, California",5496535
antur,1474.0,"Chicago, Illinois",5495445
2Tall,1475.0,Maryland,5495265
yeehaw1073,1476.0,Indiana,5494880
FordF2502001,1477.0,Mississippi,5490390
snewbfire,1478.0,Indiana,5487552
cutter1330,1479.0,Oklahoma,5487375
mikeag88,1480.0,"Houston, Texas",5485695
E500,1481.0,"Toronto, Ontario",5485590
Mikeoids,1482.0,"Columbus, Ohio",5482860
steelblue,1483.0,Maryland,5482795
NaplesFL,1484.0,"Naples, Florida",5482050
Mariuxus,1485.0,"Chicago, Illinois",5480890
KayOhio,1486.0,Ohio,5479430
CardsFan,1487.0,"St. Louis, Missouri",5478640
buffaloski,1488.0,Indiana,5478190
NFKen,1489.0,Ontario,5478165
regulargas,1490.0,"Atlanta, Georgia",5477525
bolobill,1491.0,Michigan,5477375
BillHeatherL,1492.0,Alberta,5476945
Hunter114,1493.0,"Chicago, Illinois",5474735
mke60,1494.0,"Kansas City, Missouri",5474665
